File Inclusions and Command Injections (by xochipilli and venom)

 <venom>	 a remote file inclusion vulnerability, also called insecure
 <venom>	 direct object referencing in some cases
 <venom>	code is included &&/|| executed 
 <venom>	based on user input
 <venom>	a lot of php coders
 <venom>	do eet wrong
 <venom>	and in stead of making a function 
 <venom>	they fucking include($shit)
 <xochipilli>	this USUALLY happens with PHP
 <xochipilli>	because php's include() function
 <xochipilli>	will EXECUTE any PHP CODE in the included file
 <xochipilli>	it does not matter if its a goddamn .png
 <xochipilli>	if theres php in it
 <xochipilli>	it will get executed
 <xochipilli>	so, like venom is saying
 <xochipilli>	some coders get lazy
 <xochipilli>	theres nothing inherently wrong about using include(), you just have to be careful when youre including user input
 <venom>	careful?
 <venom>	solution: don't include user input
 <xochipilli>	well
 <xochipilli>	whitelist
 <xochipilli>	etc
 <xochipilli>	dont fuck around
 <xochipilli>	so
 <xochipilli>	there are two major types
 <xochipilli>	of file inclusion vulns
 <xochipilli>	remote and local
 <venom>	some are both
 <venom>	some are one or the other
 <venom>	just depends
 <xochipilli>	a remote file inclusion happens when the server is configured to allow php to include() remove files
 <xochipilli>	meaning you call
 <xochipilli>	include('http://whatever.com/myfile.php');
 <xochipilli>	you can even use 
 <xochipilli>	ftp:// etc
 <xochipilli>	iono about samba://
 <venom>	i believe its any protocol that php has a native driver for
 <venom>	it'd be smb://
 <venom>	not samba://
 <venom>	if its accessible anyway
 <xochipilli>	that makes sense
 <venom>	if its got the *.so
 <venom>	it can do it
 <xochipilli>	^
 <xochipilli>	so
 <xochipilli>	exploiting RFIs
 <xochipilli>	is pretty trivial
 <venom>	yea
 <xochipilli>	you just upload your malicious php
 <venom>	jus put google.com
 <xochipilli>	and include it
 <venom>	in the thing
 <venom>	n it'll show the front of google
 <venom>	if its vuln
 <xochipilli>	^
 <xochipilli>	so now
 <xochipilli>	a local file inclusion
 <xochipilli>	is when some system administrator got smart
 <xochipilli>	disabled remote inclues
 <xochipilli>	so you can only include files on the box
 <xochipilli>	what this means?
 <xochipilli>	you have to get your malicious code onto their server somehow
 <venom>	must inject yer own code
 <venom>	if u want to execute shit
 <xochipilli>	the clever part, is how u do this
 <venom>	^
 <venom>	there are many ways
 <venom>	error log injection, access log injection, user agent injection
 <venom>	i saw syslog injection once
 <venom>	that was wierd
 <xochipilli>	shit
 <xochipilli>	lets say theres an email service
 <xochipilli>	or a file upload
 <venom>	^
 <xochipilli>	ANYTHING that can let you get textual php code onto their server
 <xochipilli>	in such a way the apache user can read it
 <xochipilli>	a common method
 <xochipilli>	is to upload an avatar
 <xochipilli>	w/ php in the image
 <xochipilli>	looks like a fugly image
 <xochipilli>	has php in it
 <ErrProne>	avatar.php.jpg
 <xochipilli>	any log files
 <xochipilli>	apache logs are commonly used
 <xochipilli>	so
 <xochipilli>	lets say you found your first LFI
 <xochipilli>	step 1. find a log file, we'll say, apache, because its a simple example
 <xochipilli>	how to find a log file?
 <xochipilli>	basically check known locations until you find it
 <xochipilli>	u can automate this w/ a bash script easily
 <xochipilli>	also i realized i didnt mention this
 <xochipilli>	when fuzzing for a LFI vuln
 <xochipilli>	look for /etc/passwd, boot.ini
 <xochipilli>	any file that is always there on a given OS
 <xochipilli>	so, continuing w/ our example
 <xochipilli>	if we have
 <xochipilli>	http://whatever.com/main.php?page=contact.php
 <xochipilli>	we plug in
 <xochipilli>	http://whatever.com/main.php?page=/etc/passwd
 <xochipilli>	and :O theres the passwd file
 <xochipilli>	now we want to find the log file
 <xochipilli>	so we check a few locations
 <xochipilli>	http://whatever.com/main.php?page=/var/log/httpd/error_log
 <xochipilli>	http://whatever.com/main.php?page=/var/log/apache2/error_log
 <xochipilli>	http://whatever.com/main.php?page=/etc/httpd/logs/error_log
 <xochipilli>	im sure you can see how this would be easily automated
 <xochipilli>	so lets say that last one
 <xochipilli>	http://whatever.com/main.php?page=/etc/httpd/logs/error_log
 <xochipilli>	is the correct location
 <xochipilli>	we get to step 2
 <xochipilli>	we have to generate an error w/ php code in it
 <xochipilli>	can anyone think of a simple way to do this?
 <MrWonderfull>	upload dummy php
 <xochipilli>	well, you dont have upload axx to the server
 <xochipilli>	so you want to generate an error w/ php in it
 <xochipilli>	that will be written to the log file, so you can include it
 <xochipilli>	gah u guys suck :P
 <xochipilli>	you can try a 404
 <ErrProne>	?page=xx
 <xochipilli>	or an invalid request
 <xochipilli>	i find the latter works best
 <xochipilli>	invalid request
 <xochipilli>	simplest way
 <darkspline>	request URI should have php code in it
 <darkspline>	request log file
 <xochipilli>	dont put a / at the bigging of the URI
 <darkspline>	hope it executes 
 <xochipilli>	so youd do
 <xochipilli>	GET <?php your php ?>
 <xochipilli>	itll generate an invalid request error
 <xochipilli>	and log the request
 <xochipilli>	in all of its glory
 <venom>	n then usually you can get it in the error_log
 <venom>	or
 <venom>	sometimes
 <xochipilli>	^
 <venom>	in /proc/self/fd/2
 <xochipilli>	ah yes, 
 <xochipilli>	venom: 
 <venom>	xochipilli: 
 <xochipilli>	wanna talk about the proc dir?
 <darkspline>	ssh <?php code ?>@vulnserver.com
 <darkspline>	ftw
 <venom>	i suppose i could
 <xochipilli>	darkspline: good one ^
 <venom>	proc is p. cool
 <darkspline>	;-)
 <xochipilli>	good example
 <xochipilli>	because
 <xochipilli>	ANYTHING
 <xochipilli>	that generates logs u can read
 <venom>	yeah
 <xochipilli>	that u can cram php into
 <venom>	jus make sure you can read them
 <xochipilli>	you can get really creative
 <venom>	cuz usually /var/log/secure isnt accessible from userland
 <venom>	jus sayin
 <darkspline>	good pt venom
 <venom>	anyway
 <venom>	 /proc
 <xochipilli>	apache logs are convenient since you can almost always read them
 <venom>	is pretty cool
 <venom>	now, 
 <venom>	depending on the model of the httpd ur sploitin
 <venom>	(apache, lighty, nginx, what have you)
 <venom>	sometimes the PID is gonna be the parent pid of the daemon (u can find it in /var/lock/daemon_name.pid)
 <venom>	now
 <venom>	in the /proc folder
 <venom>	u can do /proc/self/
 <venom>	self is always the active process
 <venom>	but sometimes the self symlink either isnt there
 <venom>	or u dont have perms for it
 <venom>	if u can find that pid file
 <venom>	then you can go to /proc/PID/environ or /proc/PID/fd/2
 <venom>	or /proc/PID/maps (to see open files)
 <venom>	now
 <venom>	the environment
 <venom>	 /proc/PID/environ
 <venom>	or /proc/self/environment
 <venom>	because of php
 <venom>	always contains the $_SERVER superglobal array
 <venom>	n so 
 <venom>	that array
 <venom>	has a user agent
 <venom>	so u can put
 <venom>	php
 <venom>	in ur user agent
 <venom>	n then include the environment
 <venom>	and execute code that way
 <venom>	xochipilli: all urs... u tell them about null bytes or multibyte encoding or auto-extension shit or mod rewrite
 <xochipilli>	ok
 <xochipilli>	nullbytes
 <xochipilli>	this is a fun little trick
 <xochipilli>	remember the example i mentioned earlier?
 <xochipilli>	http://whatever.com/main.php?page=contact.php
 <xochipilli>	you may have seen a link like that before, but theyre fairly uncommon now
 <xochipilli>	for reasons that should be obvious now
 <xochipilli>	but, how many of you have seen
 <xochipilli>	http://whatever.com/main.php?page=contact
 <xochipilli>	im guessin a few
 <venom>	or
 <venom>	module=
 <xochipilli>	sometimes theyll get rewritten, ill get to that in a sec
 <venom>	is common too
 <xochipilli>	yeah
 <xochipilli>	so
 <xochipilli>	null terminated strings
 <xochipilli>	anyone know how this works?
 <venom>	bcuz of c
 <venom>	its because of c
 <venom>	php is built from c
 <darkspline>	yup
 <darkspline>	compared to pascal stringts
 <xochipilli>	god these kids are either very quiet or very absent
 <xochipilli>	SPEAK UP
 <xochipilli>	so
 <venom>	so like, wen php tries to open a file, it reads the filename until the first \0 or %00 cuz dats how string termination worx
 <MrWonderfull>	terminated string, when a forum topic goes dead
 <xochipilli>	for those of you who dont know
 <xochipilli>	lets say we have the string
 <xochipilli>	"JEWS THE CONTROL THE MEDIA"
 <venom>	lol
 <xochipilli>	stored in memory
 <xochipilli>	and we want to see how long it is
 <xochipilli>	how do we do that?
 <xochipilli>	how do we know when that string ends
 <xochipilli>	and the dirty dirty tranny porn stored next to it in memory begins
 <xochipilli>	?
 <xochipilli>	theres a null byte at the end of the string
 <xochipilli>	so u jus iterate over it till u find the null
 <xochipilli>	simple neough
 <xochipilli>	so
 <xochipilli>	in the case of
 <xochipilli>	http://whatever.com/main.php?page=contact
 <xochipilli>	the php is appending a .php
 <xochipilli>	so when we try to include
 <xochipilli>	http://whatever.com/main.php?page=/etc/passwd
 <xochipilli>	its guna try to read in
 <xochipilli>	/etc/passwd.php
 <xochipilli>	thats no good
 <xochipilli>	so we gotta terminate that string
 <xochipilli>	the uri encoding of null
 <xochipilli>	is %00
 <xochipilli>	something to note
 <xochipilli>	suhosin
 <xochipilli>	will block null bytes in the URI
 <xochipilli>	some IDS systems may detect it
 <xochipilli>	its noisy-ish
 <xochipilli>	so
 <xochipilli>	we feed in
 <xochipilli>	http://whatever.com/main.php?page=/etc/passwd%00
 <xochipilli>	the string terminates, and the .php gets ignored
 <venom>	yuh
 <xochipilli>	now, for those of you unfamiliar w/ mod_rewrite
 <xochipilli>	its a way of taking a fugly url like
 <xochipilli>	http://whatever.com/main.php?page=contact
 <xochipilli>	an makin it look like
 <xochipilli>	http://whatever.com/main.phg/page/contact
 <xochipilli>	or whatever
 <venom>	yea
 <xochipilli>	however, usually
 <venom>	whatevs.com/main/contact
 <venom>	is usually
 <venom>	what it look like
 <xochipilli>	that will be a MVC framework
 <xochipilli>	like code igniter
 <venom>	rite
 <xochipilli>	which are generally more secure than your average home grown php
 <xochipilli>	because of all the nice libraries packaged in w/ them
 <venom>	so it'll be in the format /databasetablename/templatename/controllername/idnumber
 <venom>	or somethin like that
 <xochipilli>	dont have to manually check a lot of stuff, security wise
 <venom>	mix & match as it were
 <xochipilli>	so, dont be fooled by the pretty url
 <venom>	xochipilli: ye but most are vuln as hell
 <xochipilli>	u can get em sometimes
 <venom>	yea
 <venom>	exactly
 <venom>	ruby on rails jus makes me lol
 <xochipilli>	haha
 <xochipilli>	so thats basically lfi
 <xochipilli>	theres other methods
 <xochipilli>	but thats the basic methodology
 <venom>	yeh
 <xochipilli>	so, im guna talk about RCI
 <xochipilli>	cuz i dont think thats been talked about at all
 <xochipilli>	correct me if im wrong, Fox ?
 <venom>	eval() lines gone wrong xochipilli ?
 <xochipilli>	yes and no
 <Frosty>	what if the %00 are filtered or blocked?
<xochipilli>	suhosin does that
 <venom>	^
 <xochipilli>	no way around tha trly
 <venom>	thas not true
 <venom>	there are other encoding types
 <venom>	that reconstruct into nulls
 <venom>	or if u get lucky
 <venom>	n u know its going thru the lcase() or strtolower() functions
 <venom>	all that does is subtract the difference between a and A from the ascii code
 <venom>	so u could put %00 + offset
 <venom>	n then 
 <venom>	when it goes thru strtolower()
 <venom>	it becomes %00
 <venom>	not always
 <venom>	but there are ways around ;)
 <xochipilli>	there almost always are
 <xochipilli>	so RCI
 <xochipilli>	remote command injection
 <xochipilli>	fairly simple vuln, but like LFI
 <xochipilli>	theres a million little details
 <xochipilli>	when it comes to exploiting it
 <xochipilli>	basically this happens when user input gets dumped into a system() exec(), or in the case of perl, open() call
 <venom>	ooo
 <venom>	ic ic
 <xochipilli>	how u exploit this is fairly obvious
 <MrWonderfull>	yay simple
 <venom>	i thot u meant remote code inj
 <venom>	lol
 <xochipilli>	system("whois $url");
 <xochipilli>	MrWonderfull: see where im goin here?
 <xochipilli>	in fact
 <xochipilli>	if you have
 <xochipilli>	whois
 <xochipilli>	installed on your system
 <xochipilli>	i think its who is
 <xochipilli>	hold on
